steps
"combine goat meat , red wine vinegar , and salt in a large pot . pour in enough water to cover by 1 inch . bring to a boil ; cook until goat is tender , about 1 hour . drain , reserving stock . rub sage leaves over goat . place basmati rice in a large container and cover with several inches of cool water . let soak , about 30 minutes . drain . heat sesame oil in a large pot over medium heat . add onion , garlic , and ginger ; cook and stir until onion is browned , about 10 minutes . stir in garam masala , basil , coriander , and ground rosemary ; cook until fragrant , about 30 seconds . stir goat and chile peppers into the pot ; cook and stir flavors combine , 3 to 5 minutes . sprinkle rosemary leaves and lemongrass over goat . continue cooking until browned , about 10 minutes . melt ghee in a large skillet over medium heat . add curry powder and fenugreek ; cook until fragrant , about 1 minute . add drained basmati rice ; stir until evenly coated with ghee , 1 to 2 minutes . pour rice mixture over goat in the pot ; do not stir . pour in 6 cups reserved stock . bring to a boil ; reduce heat to low and simmer , covered , until rice is fluffy and tender , 15 to 20 minutes . remove from heat and let stand for 20 minutes before uncovering ."
"heat the oil in a large skillet . add , in order , the peanuts , chana dal , urad dal , red chile peppers , cashews , mustard seed , curry leaves , green chile peppers , and turmeric to the hot oil in 30 second intervals , allowing each item to cook briefly before adding the next . stir the lemon juice and salt into the mixture . mix the rice into the mixture , breaking up the individual grains with a wooden spoon ; cook and stir until no clumps of rice remain and the mixture is thoroughly heated . serve hot ."
"pour water , 1/2 cup coconut milk , and rice into a small saucepan . bring to a boil over medium high heat , then reduce heat to medium low , cover , and simmer until the rice is tender , about 20 minutes . meanwhile , melt the butter in a skillet over medium high heat . add the tofu and cook until golden brown on all sides , about 5 minutes . when browned , stir in green beans , curry powder , and 1/4 cup of coconut milk . simmer until the green beans are tender , then serve over rice ."
"place rice with enough water to cover in a small bowl . soak rice for 2 hours ; drain . stir together the prawns , ginger garlic paste , garam masala , black pepper , cloves , cardamom seeds , cinnamon sticks , salt , yogurt , and oil in a microwave safe bowl until well mixed . cook in microwave on high until the shrimp are bright pink on the outside and the meat is no longer transparent in the center , about 10 minutes . remove the prawns from the curry and set aside . stir the rice , water , and chicken bouillon into the curry and mix well . cook in the microwave on high until rice is tender , about 10 minutes . mix in the prawns ; return to the microwave and cook on high until heated through , about 5 minutes . discard cinnamon stick , cloves , and cardamom seeds before serving ."
"heat oil in a large pot over medium heat until it shimmers . cook onion and curry leaves , stirring occasionally , until onion is dark brown , 12 to 15 minutes . add tomato and cook , stirring occasionally , until softened , 3 to 5 minutes . meanwhile , soak rice in water to cover for 10 minutes . drain well . add beans , carrots , peas , potato , chile powder , biryani masala powder , and salt to onion mixture . cook , stirring occasionally , 2 minutes . stir in drained rice and water and bring to a boil . reduce heat to low and cook , covered , until water is absorbed , about 30 minutes . stir in cilantro and let stand , covered , 10 minutes before serving ."
"heat a large skillet over medium heat ; add rice and lentils . cook and stir until toasted and fragrant , 3 to 4 minutes . rinse . place rice lentil mixture , 1 tablespoon ghee , and salt in a rice cooker or pressure cooker ; add water . cook according to manufacturer's instructions until rice and lentils are tender and the consistency of a paste , 20 to 25 minutes . stir and mash into a fine paste . heat 1 tablespoon ghee in a skillet over medium high heat . add black pepper and cumin seeds ; cook until seeds start to pop , 2 to 3 minutes . stir cumin mixture into rice lentil mixture . tear curry leaves roughly and stir into rice lentil mixture ; stir in ginger . season with salt . heat remaining 1 tablespoon ghee in a skillet over medium high heat ; cook and stir cashews until toasted and fragrant , 2 to 4 minutes . garnish rice lentil mixture with toasted cashews ."
"combine water , basmati rice , split mung beans , ginger , coriander , oregano , garlic , cumin , and fennel seeds in a saucepan . bring to a boil ; reduce heat to medium low . simmer , covered , until most of the water is absorbed and the mixture has a smooth consistency , 20 to 25 minutes ."
"heat the corn oil in a large saucepan over medium high heat . stir in the onion , garlic , red bell pepper , and whole cloves . cook and stir until the onion has softened and begun to brown , about 10 minutes . stir in the rice , and cook for 1 minute , stirring constantly . add 4 cups of water , salt , and cayenne pepper . bring to a boil , then reduce heat to medium low , cover , and simmer until the rice is tender , about 20 minutes . meanwhile , place the broccoli , corn , green beans , carrot , and 1/4 cup water into a microwave safe bowl . cover , and cook in the microwave at full power until the vegetables are tender , 2 to 4 minutes depending on the microwave . once the rice has finished cooking , gently stir the vegetables into the rice along with the turmeric , black pepper , and cashews . sprinkle with cilantro to serve ."
"in a large pan heat oil over medium heat and saute onions and cumin until onions are tender , but not browned . rinse the rise several times and drain well . add the rice to the pan with the onions and pour in the 2 cups of water . stir in salt , garam masala and vegetables . cover the pan and increase the heat to high . bring the mixture to a boil and then reduce the heat to low , keeping the rice covered at all times . after cooking for about 10 minutes , gently stir the rice to distribute the spices evenly . cook 25 to 30 minutes , or until all of the water has evaporated and the rice is tender ."
"heat the coconut oil and ghee together in a large skillet over medium heat ; fry the cashews in the hot mixture until golden brown . remove the cashews using a slotted spoon to a bowl ; set aside . add the red chile peppers , urad dal , chana dal , mustard seeds , and cumin seeds to the remaining oil . when the seeds begin to splutter , add the coconut , green chile peppers , curry leaves , and asafoetida powder ; cook together for 1 minute before adding the rice . season with salt . stir the mixture , breaking the rice apart into individual grains with the back of the spoon ; cook and stir until the rice is thoroughly reheated , 8 to 10 minutes . garnish with the cashews and sesame seeds . serve warm or at room temperature ."
"place the basmati rice in a large container and cover with several inches of cool water ; let stand 30 minutes . drain . heat the oil in a large pan with a heavy bottom ; fry the onion , garlic paste and , ginger paste in the hot oil until the onions are caramelized and golden brown , about 10 minutes . stir the turmeric , garam masala , and cumin into the mixture ; allow to cook together for 30 seconds . add the tomatoes and cook until the oil separates , about 10 minutes . crumble the ground beef into the tomato mixture ; season with salt and cook until the beef is no longer pink , about 15 minutes . mix the frozen peas and the green chile peppers into the beef . heat the ghee in a large skillet over medium heat . cook the cinnamon stick , cardamom pod , bay leaves , and cloves in the ghee until fragrant , about 1 minute . add the rice to the spice mixture ; cook until the rice smells nutty , 1 to 2 minutes more . spread the rice with the spices over the beef mixture , but do not stir . gently pour the water over the rice and season with salt ; bring the mixture to a boil for 2 minutes . cover , reduce heat to low , and continue cooking until the rice is tender , 12 to 15 minutes . remove from heat completely and allow to sit covered another 20 minutes . garnish with cilantro to serve ."
"place rice in large container and cover with several inches of cool water ; let soak for 20 minutes . drain . heat oil in a pressure cooker over medium heat . add onion , cumin seeds , and bay leaves ; cook and stir until onion is translucent , about 5 minutes . stir in potatoes and carrots ; cook until lightly browned , about 5 minutes . stir in turmeric , chile powder , and coriander ; cook until fragrant , about 1 minute . stir rice gently into the pressure cooker until evenly coated with oil . pour in water and peas . stir in salt , butter , and garam masala . seal cooker and bring to high pressure according to manufacturer's instructions . cook for 5 minutes . remove from heat . release pressure naturally according to manufacturer's instructions . fluff rice with a fork ."
"rinse and soak rice for 30 minutes ; drain . heat oil in a large saucepan over medium heat . saute cumin seeds and cloves for less than 1 minute . saute the onion , stirring constantly , until brown . stir in rice and fry for about 1 minute , stirring . stir in the water , salt , garam masala , chili powder and vegetables . bring to a boil , then reduce heat , cover and simmer for 20 minutes , or until all water is absorbed . fluff with a fork and stir in butter before serving ."
"mix goat meat , yogurt , prunes , ginger , garlic paste , 1 1/2 teaspoons salt , cumin , black pepper , turmeric , red chile pepper , cinnamon , and cloves together in a bowl . cover bowl with plastic wrap and marinate in the refrigerator , 8 to 14 hours . rinse the rice under lukewarm water 2 times . place rice in a pot and cover with enough cold water to reach 1 1/4 to 1 1/2 inches above rice ; soak for 1 hour . melt unsalted butter in a large skillet over low heat ; cook and stir onions until translucent and golden , about 10 minutes . add tomatoes ; cook and stir until oil separates and rises to the surface , 5 to 10 minutes . mix marinated goat meat mixture and potatoes into onion mixture ; cook and stir until meat is browned and cooked through , 20 to 30 minutes . pour 1 1/2 cups cold water over goat meat mixture and cook until meat is tender , 30 to 40 minutes . increase heat to medium and cook , stirring frequently , until oil separates from the mixture , about 5 minutes . decrease heat to low and keep warm . preheat oven to 275 degrees f . bring 12 cups water , 3 tablespoons salt , and 1 tablespoon butter to a boil in a large pot for 3 to 4 minutes . drain rice and add to boiling water ; cook for 10 minutes . remove from heat and carefully drain water . spoon 1/2 the rice into the bottom of a large baking dish ; top with 1/2 the goat meat mixture . arrange 1/2 the bay leaves over goat meat mixture . repeat layering with remaining rice , goat meat mixture , and bay leaves . cover dish with aluminum foil . bake in the preheated oven until rice is fully cooked , 30 to 40 minutes ."
"place the basmati rice in a large container and cover with several inches of cool water ; let stand 30 minutes . drain . heat 1/4 cup oil in a large skillet over medium heat ; fry the cloves , cardamom pods , and cinnamon sticks in the hot oil until fragrant , about 1 minute . add the onions ; cook and stir until the onions are lightly browned , about 5 minutes . stir the garlic paste and ginger paste into the onion mixture ; cook until the garlic and ginger is fragrant , about 1 minute more . sprinkle the cilantro and mint over the mixture and cook 1 minute more . add the lamb chops to the skillet ; season with salt . cook and stir the lamb until the meat begins to brown , about 20 minutes . stir the tomatoes , green chile peppers , and ground red pepper into the mixture ; continue cooking until the oil begins to separate from the gravy , about 10 minutes . add the yogurt and lemon juice ; cover and cook until the lamb is tender , about 15 minutes . add water as needed to keep the mixture from getting too dry . bring the rice , 7 1/2 cups water , and 1 teaspoon salt to a boil in a saucepan until the rice is nearly done yet a little chewy , 10 to 15 minutes ; drain any excess water . heat 1 tablespoon oil in a small skillet ; fry the sliced onion in the hot oil until lightly browned . layer about half the rice in the bottom of a deep pot with a lid . spoon the lamb masala over the rice . spread the fried onion over the lamb masala . top with the remaining rice . stir the saffron and warm milk together in a small bowl ; pour over the top layer of rice . cover the pot with the lid and place the pot over low heat ; cook until the rice is thoroughly cooked , about 15 minutes ."
"soak rice for 30 minutes in enough water to cover ; then drain . meanwhile , heat ghee in a large skillet over medium heat . stir in cloves , cardamom , and bay leaves . then stir in onion , and cook until soft , 6 to 7 minutes . stir in chile peppers and ginger paste . stir in yogurt , salt , and curry , and then place chicken in pan . cook for 20 to 25 minutes , stirring occasionally and turning the chicken pieces , until only about 1 cup of liquid remains . mix in rice , water , and cilantro . bring to a boil . reduce heat to low , cover , and cook for 20 minutes . check rice after about 12 minutes ; if it is dry , add 1/2 cup water , and continue cooking ."
"mix yogurt , garlic , ginger , garam masala , turmeric , and salt together in a bowl . add chicken breast ; toss to coat evenly . cover bowl and marinate chicken in the refrigerator , at least 1 hour . place rice in a bowl and add enough water to cover ; set aside to soften . place saffron threads in a small bowl with 1/4 cup water ; set aside to bloom . preheat oven to 400 degrees f . coat a baking dish with 2 tablespoons olive oil . arrange onions in the prepared baking dish in a single layer . top onions with marinated chicken breast , reserving marinade . add 1/2 cup water to the reserved marinade ; pour marinade mixture over chicken . top with tomato slices . bake in the preheated oven until chicken breasts are no longer pink in the center and the juices run clear , 30 to 35 minutes . an instant read thermometer inserted into the center should read at least 165 degrees f . bring 6 cups water to a boil in a large pot with cloves , cardamom , cinnamon , and cumin . drain rice and add to the pot . bring to a boil and cook until softened but still firm , about 8 minutes . heat remaining 2 tablespoons oil in a skillet over medium heat . add masala curry sauce ; cook and stir until fragrant , about 1 minute . add parboiled rice and stir to combine , about 1 minute more . stir in saffron infused water and 3/4 cup water . cover , reduce heat to low , and simmer until liquid is absorbed , 5 to 8 minutes . remove from heat and let stand until rice is fluffy , 5 to 10 minutes . spoon rice onto serving platter ; top with chicken breasts , onion , and tomatoes ."
"set the slow cooker to the high setting . heat the butter in a skillet over medium heat , and cook and stir the onion until browned , 5 to 10 minutes . set the onion aside . in a large bowl , stir together cream of mushroom soup , cream of chicken soup , coconut milk , dry soup mix , curry powder , salt , pepper , and cayenne pepper until the mixture is thoroughly combined . place the chicken into the bottom of the slow cooker , and pour the mixture over the chicken . stir in onion , peas and mushrooms . cook on high setting for 1 1/2 hours , then reduce heat to low and cook an additional 1 1/2 to 2 hours ."
"cook and stir chicken pieces in 3 tablespoons butter in a skillet over medium heat until chicken is white outside and slightly pink inside , 5 to 8 minutes . add tomatoes , mango , sweet onion , serrano peppers , white pepper , dry mustard , curry powder , and salt . bring to a boil , reduce heat to low , and simmer until chicken and onion are very tender , about 45 minutes . while curry is simmering , bring rice and water to a boil in a saucepan . reduce heat to medium low , cover , and simmer until the rice is tender and fluffy and the liquid has been absorbed , 20 to 25 minutes . bring a skillet of lightly salted water to a boil , reduce heat , and place asparagus into the boiling water . cook until asparagus are tender and still bright green , about 12 minutes ; drain water and drizzle asparagus with 3 tablespoons melted butter . to serve , spoon rice onto serving plates and top each serving with several asparagus spears ; top with chicken curry ."
"place basmati rice in a large container and cover with several inches of cool water . let soak , about 30 minutes . drain . heat 2 tablespoons vegetable oil in a large skillet over medium heat . add cinnamon sticks , 8 cloves , and 4 black cardamom pods ; fry until fragrant , about 1 minute . add onions ; cook and stir until lightly browned , about 5 minutes . stir in ginger garlic paste ; cook until fragrant , about 1 minute . sprinkle mint and cilantro on top ; cook 1 minute more . stir chicken into the skillet ; season with 1 teaspoon salt . cook and stir until chicken is browned , about 20 minutes . stir in yogurt , green chile peppers , lemon juice , remaining 2 tablespoons oil , chile pepper , and turmeric . cook until oil begins to separate from the sauce , 10 to 20 minutes . reduce heat to low . bring water to a boil in a large pot . add 1 teaspoon salt , cumin , 2 green cardamom pods , 2 cloves , and bay leaves ; boil for 1 minute . add drained rice . bring water back up to a boil and cook for 2 minutes . remove from heat and drain , reserving whole spices in the rice . spoon chicken mixture into a slow cooker . top with partially cooked rice ; mix together . cook on high until rice is tender , about 1 hour 30 minutes ."
"heat ghee in a large heavy skillet over medium heat and cook and stir red onion in the hot butter until starting to brown , about 8 minutes ; stir in garlic and fresh ginger and cook , stirring constantly , until fragrant , about 1 more minute . stir in chicken pieces and cook and stir until lightly golden brown , about 10 more minutes . mix ground fennel , lal mirchi , cumin , coriander , ground ginger , fenugreek , turmeric , cardamom , cinnamon , cloves , and black pepper in a bowl with 1 to 2 tablespoons water or as needed to make a paste ; stir into the chicken and fry spice paste for 2 minutes . pour in remaining 1/4 cup water and fry the spices and chicken until the water has almost evaporated , 7 to 8 minutes , stirring constantly to prevent spices from burning . mix in jwala chiles , habanero chiles , and tomatoes ; cook , stirring often , until tomatoes are softened and start to break apart , about 10 minutes . if chicken is still slightly pink inside , stir in more water , a tablespoon at a time , and cook until water has evaporated and chicken is cooked through ."
"heat the olive oil in a skillet over high heat . stir in 1/3 of the onion ; cook and stir until the onion is golden brown and crisp , about 5 minutes . season with salt . remove the onion from the oil and drain on a paper towel lined plate . set aside . place the remaining 2/3 of onion and the bay leaf into the same skillet over high heat . cook and stir until the onion has turned golden brown , about 5 minutes . stir in 1 tablespoon of water , then add the turmeric , chili powder , paprika , ginger , and garlic . reduce heat to medium high and continue to cook and stir until the liquid has reduced , then stir in another tablespoon of water . place the chicken and tomato slices into the onion mixture . season with salt and sugar . stir in the cardamom pods , cloves , cinnamon stick , ghee , and 1 tablespoon of water . cover and simmer on low until the liquid has reduced , 30 to 35 minutes . stir in the coriander . simmer until the liquid has evaporated . sprinkle with cilantro and reserved fried onions before serving ."
"heat the oil in a skillet over medium heat . finely chop the onions and garlic in a blender or food processor , and cook in the skillet until tender . puree the tomatoes and green bell pepper in the blender or food processor , and mix into the skillet . season with salt , garam masala , and chili powder . stir in the cream and butter , and continue cooking until heated through . mix the chicken into the skillet . cover , and simmer 20 minutes , or until chicken juices run clear ."
