Region,servings
Thai,8
Thai,6
Thai,4
Thai,8
Thai,8
Thai,2
Thai,6
Thai,6
Thai,4
Thai,6
Thai,4
Thai,4
Thai,6
Thai,6
Thai,6
Thai,5
Thai,6
Thai,12
Thai,6
Thai,5
Thai,10
Thai,4
Thai,6
Thai,4
Thai,4
Thai,4
Thai,4
Thai,4
Thai,4
Thai,4
Thai,4
Thai,4
Thai,4
Thai,4
Thai,4
Thai,5
Thai,6
Thai,8
Thai,4
Thai,4
Thai,4
Thai,4
Thai,4
Thai,6
Thai,4
Thai,8
Thai,4
Thai,6
Thai,8
Thai,4
Thai,4
Thai,2
Thai,4
Thai,6
Thai,4
Thai,4
Thai,4
Thai,4
Thai,8
Thai,4
Thai,12
Thai,8
Thai,4
Thai,3
Thai,6
Thai,4
Thai,6
Thai,8
Thai,4
Thai,6
Thai,4
Thai,4
Thai,3
Thai,4
Thai,28
Thai,8
Thai,6
Thai,4
Thai,8
Thai,6
Thai,4
Thai,4
Thai,4
Thai,6
Thai,6
Thai,6
Thai,6
Thai,5
Thai,8
Thai,4
Thai,4
Thai,4
Thai,4
Thai,2
Thai,4
Thai,8
Thai,4
Thai,4
Thai,1
Thai,12
Thai,2
Thai,4
Thai,4
Thai,4
Thai,6
Thai,20
Thai,4
Thai,4
Thai,4
Thai,4
Thai,8
Thai,20
Thai,4
Thai,4
Thai,4
Thai,8
Thai,6
Thai,4
Thai,2
Thai,4
Thai,6
Thai,4
Thai,8
Thai,4
Thai,5
Thai,4
Thai,4
Thai,15
Thai,10
Thai,2
Thai,4
Thai,6
Thai,4
Thai,4
Thai,6
Thai,4
Thai,6
Thai,6
Thai,4
Thai,4
Thai,3
Thai,6
Thai,4
Thai,6
Thai,4
Thai,6
Thai,6
Thai,4
Thai,4
Thai,4
Thai,4
Thai,4
Thai,4
Thai,4
Thai,4
Thai,4
Thai,5
Thai,8
Thai,8
Thai,12
Thai,4
Thai,6
Thai,6
Thai,4
Thai,6
Thai,4
Thai,6
Thai,4
Thai,50
Thai,4
Thai,6
Thai,12
Thai,6
Thai,6
Thai,4
Thai,16
Thai,2
Thai,2
Thai,4
Thai,16
Thai,4
Thai,4
Thai,6
Thai,7
Thai,8
Thai,6
Thai,4
Thai,6
Thai,12
Thai,2
Thai,8
Thai,8
Thai,4
Thai,4
Thai,8
Thai,8
Thai,4
Thai,6
Thai,4
Thai,4
Thai,4
Thai,8
Thai,6
Thai,4
Thai,8
Thai,4
Thai,4
Thai,6
Thai,4
Thai,4
Thai,8
Thai,6
Thai,4
Thai,20
Thai,6
Thai,6
Thai,4
Thai,4
Thai,6
Thai,4
Thai,4
Thai,4
Thai,4
Thai,8
Thai,20
Thai,8
Thai,8
Thai,6
Thai,1
Thai,4
Thai,4
Thai,4
Thai,8
Thai,4
Thai,4
Thai,4
Thai,8
Thai,8
Thai,4
Thai,4
Thai,8
Thai,5
Thai,4
Thai,4
Thai,12
Thai,4
Thai,6
Thai,4
Thai,12
Thai,24
Thai,6
Thai,4
Thai,4
Thai,2
Thai,8
Thai,10
Thai,12
Thai,18
Thai,6
Thai,6
Southeast Asian,4
Southeast Asian,4
Southeast Asian,4
Southeast Asian,4
Southeast Asian,6
Southeast Asian,4
Southeast Asian,8
Southeast Asian,4
Southeast Asian,8
Southeast Asian,4
Southeast Asian,40
Southeast Asian,30
Southeast Asian,6
Southeast Asian,4
Southeast Asian,5
Southeast Asian,6
Southeast Asian,4
Southeast Asian,2
Southeast Asian,8
Southeast Asian,4
Southeast Asian,4
Southeast Asian,4
Southeast Asian,4
Southeast Asian,33
Southeast Asian,6
Southeast Asian,4
Southeast Asian,8
Southeast Asian,4
Southeast Asian,8
Southeast Asian,4
Southeast Asian,18
Southeast Asian,6
Southeast Asian,6
