Ingredient_Phrases
"For the dough :|2 cups whole wheat flour|1/4 cup vegetable oil|2/3 cup water|For the filling :|1/2 teaspoon mustard seeds|1 green chile pepper , chopped|1 piece ginger , grated|2 onions , peeled and finely chopped|10 fresh curry leaves|1/2 teaspoon ground turmeric|sea salt to taste|6 ounces uncooked prawns , peeled and deveined|2 eggs , beaten"
"For the Green Chile Paste :|1/4 cup chopped fresh green chile peppers|1 tablespoon coarsely chopped garlic|2 tablespoons fresh ginger , peeled and coarsely chopped|1 teaspoon salt|1/8 teaspoon ground turmeric|2 teaspoons vegetable oil|For the Noodles :|1 pound potatoes , peeled|3 cups water|3 1/2 cups chickpea flour|2 tablespoons mustard oil"
"3 tablespoons olive oil|1 onion , chopped|6 cloves garlic , minced|5 green chile peppers , finely sliced|1 teaspoon ginger paste|3 whole cardamom seeds|2 whole cloves|1 1/2 cinnamon sticks|1 teaspoon ground cumin|1 teaspoon ground coriander|1 teaspoon ground turmeric|1 teaspoon garlic powder|1 teaspoon cayenne pepper|1 cup water|2 pounds boneless beef chuck , cut into 1-1/2-inch pieces"
"3 tablespoons mustard seed|5 green chile peppers , diced|1/4 cup vegetable oil|4 medium onions , chopped|1 teaspoon chili powder|1 teaspoon ground turmeric|salt to taste|1/3 cup water|2 pounds salmon , cut into chunks"
"1 cup red lentils|3 cups water|1 cup onion , thinly sliced , divided|4 cloves garlic , coarsely chopped , divided|1/2 teaspoon ground turmeric|1 bay leaf|3/4 cup cherry tomatoes|1/2 teaspoon salt|2 whole serrano chile peppers ( optional )|1 tablespoon vegetable oil|2 tablespoons chopped cilantro"
"1/2 cup fresh cilantro|2 tablespoons olive oil|2 large onions , diced|1 tablespoon ginger-garlic paste|2 large tomatoes , diced|1 teaspoon cayenne pepper , or more to taste|1 teaspoon curry powder|1 teaspoon garam masala|1 teaspoon ground turmeric|1 teaspoon ground cumin|4 skinless , boneless chicken breast halves - cut into bite-size pieces|2 large red-skinned potatoes , chopped"
"2 cups basmati rice|2 tablespoons canola oil|1 onion , minced|1 1/2 tablespoons minced fresh ginger|1 teaspoon cumin seeds|1 teaspoon ground fenugreek|1/4 teaspoon ground turmeric|4 garlic cloves , minced|1 cup frozen peas|1 carrot , minced|1/2 cup minced green beans|1/2 cup minced cauliflower|3 1/2 cups vegetable broth|1/2 cup chopped cilantro"
"1 cup long-grain rice|2 1/2 cups water|salt to taste|2 tablespoons vegetable oil|1 onion , chopped|1 tablespoon cumin seeds|5 black peppercorns|1 bay leaf|1 teaspoon white sugar|1/4 teaspoon ground cinnamon|1 pinch ground cloves"
2 1/2 cups water|1 cup Basmati rice|1/4 cup white sugar|2 teaspoons clarified butter|1 pinch saffron|6 whole cloves|3 tablespoons raisins|1/4 cup cashews|1 teaspoon ground cardamom
"3 pounds black goat meat , cubed|1 tablespoon red wine vinegar|1 tablespoon fine sea salt|water to cover|1 tablespoon rubbed sage leaves|4 cups brown basmati rice|1 tablespoon sesame oil|2 onions , sliced|1 teaspoon minced garlic|1 teaspoon minced ginger|1 teaspoon garam masala|1/2 teaspoon dried basil leaves|1/4 teaspoon ground coriander|1/4 teaspoon ground rosemary|1/4 cup sliced hot chile peppers ( optional )|1/2 teaspoon rosemary leaves|1/8 teaspoon minced lemongrass|2 tablespoons ghee ( clarified butter )|1 teaspoon Madras curry powder|1/8 teaspoon ground fenugreek seeds"
"1/4 cup oil|1/2 cup peanuts|2 tablespoons split Bengal gram ( chana dal )|3 tablespoons skinned split black lentils ( urad dal )|3 dried red chile peppers|1/4 cup raw cashews ( optional )|1 tablespoon mustard seed|2 sprigs fresh curry leaves|5 green chile peppers , halved lengthwise|2 teaspoons ground turmeric|2 lemons , juiced|salt to taste|2 cups cold , cooked basmati rice"
"1/2 cup water|1/2 cup coconut milk|1/2 cup uncooked white rice|1/2 teaspoon butter|3 ounces firm tofu , cubed|1 cup fresh green beans , rinsed and trimmed|1/4 teaspoon curry powder"
1 1/3 cups uncooked white rice|9 ounces peeled and deveined tiger prawns|1 tablespoon ginger garlic paste|1 teaspoon garam masala|1 teaspoon ground black pepper|4 whole cloves|4 whole cardamom seeds|2 cinnamon sticks|salt to taste|1/2 cup plain yogurt|1/4 cup vegetable oil|1 cup water|2 cubes chicken bouillon
"1/3 cup vegetable oil|1 large onion , cut lengthwise into 1/4-inch thick strips|5 fresh curry leaves|1 medium tomato , chopped|1 cup uncooked basmati rice|1/2 cup fresh green beans , cut into 2-inch pieces|1 medium carrot , peeled and cut into 2-inch pieces|1 medium potato , peeled and cut into 2-inch pieces|1 teaspoon chili powder|1 teaspoon biryani masala powder|1 teaspoon salt|2 cups water|1/2 cup chopped cilantro"
"1 cup white rice|1 cup yellow lentils ( moong dal )|3 tablespoons ghee ( clarified butter ) , divided|salt to taste|4 cups water , or as desired|1 1/2 teaspoons coarsely ground black pepper|1/4 teaspoon cumin seeds|5 curry leaves|1 piece fresh ginger root , minced ( optional )|1/4 cup cashews ( optional )"
"4 cups water|1/2 cup basmati rice|1/2 cup split mung beans|1 teaspoon grated fresh ginger , or more to taste|1 teaspoon ground coriander|1 teaspoon dried oregano leaves|1 clove garlic , minced|1/2 teaspoon ground cumin|1/4 teaspoon fennel seeds"
"3 tablespoons corn oil|1 onion , finely chopped|1 clove garlic , minced|1/2 cup chopped red bell pepper|3 whole cloves|1 cup long grain rice|4 cups water|1 tablespoon salt , or to taste|1 tablespoon cayenne pepper|1 cup chopped fresh broccoli|1/2 cup corn kernels|1/2 cup fresh green beans , cut into 1 inch pieces|1/2 carrot , chopped|1/2 teaspoon ground turmeric|1 1/2 tablespoons ground black pepper|1/4 cup roasted cashews|1/4 cup chopped fresh cilantro"
"2 tablespoons vegetable oil|1 onion , thinly sliced|1/2 teaspoon ground cumin|1 cup Basmati rice|2 cups water|3/4 teaspoon salt|1/2 teaspoon garam masala|3/4 cup frozen mixed vegetables"
"2 tablespoons coconut oil|2 tablespoons ghee ( clarified butter )|1/4 cup cashews|3 dried red chile peppers|2 tablespoons skinned split black lentils ( urad dal )|1 tablespoon split Bengal gram ( chana dal )|1 teaspoon mustard seeds|1 teaspoon cumin seeds|1 cup grated fresh coconut|4 green chile peppers , halved lengthwise|2 sprigs fresh curry leaves|1/4 teaspoon asafoetida powder|3 cups cold , cooked white rice|salt to taste|2 tablespoons toasted sesame seeds ( optional )"
"3 cups basmati rice|1/4 cup cooking oil|2 large onions , minced|1 tablespoon garlic paste|1 tablespoon ginger paste|1 teaspoon ground turmeric|1 teaspoon garam masala|1 teaspoon ground cumin|2 tomatoes , chopped|1 pound ground beef|salt to taste|1/2 cup frozen green peas ( optional )|4 green chile peppers , halved lengthwise|1 tablespoon ghee ( clarified butter )|1 cinnamon stick|1 black cardamom pod|2 bay leaves|4 whole cloves|5 cups water|1/4 cup chopped fresh cilantro"
"2 cups long-grain white rice|3 tablespoons vegetable oil|1 large onion , thinly sliced|1/2 teaspoon cumin seeds|2 bay leaves , broken in half|2 potatoes , quartered|2 carrots , quartered|1 1/2 teaspoons ground turmeric|1 teaspoon chile powder , or more to taste|1/2 teaspoon ground coriander|2 1/2 cups water|1 cup shelled peas|1 1/2 teaspoons salt , or to taste|1 teaspoon butter|1/2 teaspoon garam masala"
"1 cup Basmati rice|1 1/4 tablespoons vegetable oil|1/2 teaspoon cumin seeds|1/2 teaspoon whole cloves|1 onion , chopped|3 cups water|1 1/2 teaspoons salt , or to taste|2 tablespoons garam masala|chili powder to taste|1 cup frozen mixed vegetables|1 tablespoon butter"
"1 1/2 pounds goat meat|1 1/4 cups plain Greek yogurt , stirred|6 pitted prunes , or more to taste|3 1/2 tablespoons diced fresh ginger|1 1/4 tablespoons garlic paste|1 1/2 teaspoons salt , or to taste|1 1/2 teaspoons ground cumin|1 1/2 teaspoons ground black pepper|1 teaspoon turmeric powder|1/2 teaspoon ground red chile pepper|1/4 teaspoon ground cinnamon|1/4 teaspoon ground cloves|1 1/4 pounds basmati rice|1 1/2 cups unsalted butter|6 onions , thinly sliced|4 ripe tomatoes , cut into 1/4-inch cubes|4 potatoes , peeled and quartered|1 1/2 cups cold water , or more as needed|4 bay leaves , or more to taste"
"2 1/2 cups basmati rice|1/4 cup cooking oil|8 whole cloves|4 black cardamom pods|4 cinnamon sticks|4 large onions , sliced thin|1 tablespoon garlic paste|1 tablespoon ginger paste|1/4 cup chopped fresh cilantro leaves|3 tablespoons chopped fresh mint leaves|1 pound lamb chops|salt to taste|3 tomatoes , chopped|4 green chile peppers , halved lengthwise|2 teaspoons ground red pepper|2 tablespoons plain yogurt|2 tablespoons lemon juice|7 1/2 cups water|1 tablespoon vegetable oil|1/2 teaspoon saffron|2 tablespoons warm milk"
"1/4 cup ghee ( clarified butter )|20 whole cloves|9 whole cardamom pods|5 bay leaves|1 medium onion , chopped|5 small green chile peppers|2 tablespoons ginger garlic paste|1 whole chicken , cut into pieces|1 1/2 cups plain yogurt|1 teaspoon salt|6 fresh curry leaves ( optional )|3 cups uncooked jasmine or white rice|4 1/8 cups water|1 sprig cilantro leaves with stems"
"1 container whole milk yogurt|6 cloves garlic , crushed|2 teaspoons finely grated ginger root|1 1/2 teaspoons garam masala|1/2 teaspoon ground turmeric|salt to taste|2 pounds skinless , boneless chicken breast halves|6 cups basmati rice|1 pinch saffron|7 3/4 cups water , divided|1/4 cup olive oil , divided|3 onions , sliced , separated into rings|3 tomatoes , sliced|6 whole cloves|5 cardamom pods|3 cinnamon sticks|1 tablespoon cumin seeds|2 tablespoons prepared masala curry sauce"
"1 tablespoon butter|1 onion , chopped|1 can condensed cream of mushroom soup|1 can condensed cream of chicken soup|1 can coconut milk|3 tablespoons curry powder , or to taste|1/2 teaspoon salt|1/2 teaspoon ground black pepper|2 teaspoons ground cayenne pepper , or to taste|3 large skinless , boneless chicken breast halves -- trimmed and cut into 1-inch pieces|1 cup green peas|2 cups sliced fresh mushrooms"
"3 pounds skinless , boneless chicken breast halves , cubed|3 tablespoons butter|2 cans diced tomatoes , drained|1 cup chopped mango|4 serrano chile peppers - halved , seeded , and sliced 1/4-inch thick|1/2 teaspoon ground white pepper|1/2 teaspoon ground dry mustard|1 1/2 teaspoons curry powder|1/4 teaspoon salt|2 cups basmati rice|4 cups water|2 pounds fresh asparagus , trimmed"
"2 1/2 cups basmati rice|1/4 cup vegetable oil , divided|4 cinnamon sticks|8 whole cloves|4 pods black cardamom|2 onions , sliced|2 tablespoons ginger-garlic paste|1/4 cup chopped fresh mint|3 tablespoons chopped fresh cilantro|1 1/2 pounds boneless chicken breast , cut into 2-inch cubes|1 teaspoon salt|3/4 cup fat-free yogurt|4 green chile peppers|1/4 cup lemon juice|1 tablespoon ground chile pepper|1/4 teaspoon ground turmeric|10 cups water|1 teaspoon cumin seeds|2 pods green cardamom|2 bay leaves"
"3 tablespoons ghee ( clarified butter )|1 red onion , finely chopped|3 cloves garlic , finely chopped|1 piece fresh ginger , finely chopped|1 1/2 pounds skinless , boneless chicken breast halves , cut into bite-size pieces|1 teaspoon ground fennel seed|1 1/4 teaspoons lal mirchi ( ground Indian red chile pepper )|1 1/4 teaspoons ground cumin|1 teaspoon ground coriander|14 teaspoons ground fenugreek|1/4 teaspoon ground turmeric|1/4 teaspoon ground cardamom|1/4 teaspoon ground cinnamon|1/4 teaspoon ground black pepper|1/4 teaspoon ground cloves|6 tablespoons water , divided|5 fresh red jwala chiles , finely chopped ( use gloves )|7 habanero chiles , finely chopped ( use gloves )|4 roma ( plum ) tomatoes , finely chopped"
"3 tablespoons olive oil|1 red onion , thinly sliced , divided|salt to taste|1 bay leaf|1 tablespoon water|1 tablespoon ground turmeric|1/2 teaspoon chili powder|1/2 teaspoon paprika|2 tablespoons ground ginger|2 tablespoons minced garlic|2 1/4 pounds skinless , boneless chicken breast , cut in bite-sized pieces|1 tomato , thinly sliced|1/4 teaspoon white sugar|3 cardamom pods , lightly crushed|3 whole cloves|1 cinnamon stick|1 tablespoon ghee ( clarified butter )|1 tablespoon ground coriander|1 bunch cilantro , chopped"
"1/4 cup vegetable oil|1 1/2 onions , chopped|1 clove garlic|2 tablespoons water|8 tomatoes|1 large green bell pepper|1 tablespoon salt|2 teaspoons garam masala|1 teaspoon chili powder|1/2 cup heavy cream|1/4 cup butter|4 skinless , boneless chicken breast halves - cut into bite-size pieces"
"3 tablespoons vegetable oil|2 teaspoons cumin seeds|1 cup chopped onion|4 cloves garlic , minced|1/2 teaspoon ground turmeric|1 teaspoon chili powder|2 tablespoons tomato puree|1 pound boneless , skinless chicken breast halves , cut into bite-sized pieces|1 cup chopped carrots|1 cup chopped potatoes|1 cup chopped fresh green beans|salt to taste|1 cup water|1 cup unsweetened coconut cream"
"2 containers plain yogurt|2 teaspoons kosher salt|1 teaspoon black pepper|1/2 teaspoon ground cloves|2 tablespoons freshly grated ginger|3 cloves garlic , minced|4 teaspoons paprika|2 teaspoons ground cumin|2 teaspoons ground cinnamon|2 teaspoons ground coriander|16 chicken thighs|olive oil spray"
"2 1/2 tablespoons vegetable oil|1 pod cardamom|1 clove|1 cinnamon stick|4 medium onions , chopped|3 tablespoons chopped fresh garlic|1/4 teaspoon chopped fresh ginger|1 pound boneless skinless chicken breasts , cut into cubes|chili powder to taste|1 1/2 medium tomatoes , chopped|16 ounces plain yogurt|3 tablespoons water|lemon juice , to taste|3 cups white rice|1 teaspoon butter|salt to taste|1 bunch fresh mint , chopped|1 bunch chopped cilantro"
"2 tablespoons smoked paprika|1 tablespoon chili powder|7 1/2 teaspoons curry powder|4 1/2 teaspoons onion powder|1 1/4 teaspoons salt|1 teaspoon garlic powder|1/4 teaspoon ground black pepper|1/4 teaspoon rubbed sage|1 pinch ground ginger ( optional )|2 tablespoons fresh lemon juice|1/2 cup chicken broth|1/4 cup vegetable oil|1 whole chicken , rinsed and patted dry|3 cups water|2 tablespoons butter|2 1/4 cups dry couscous|1 bay leaf"
"2 tablespoons ghee ( clarified butter )|1 onion , finely chopped|4 cloves garlic , minced|1 tablespoon ground cumin|1 teaspoon salt|1 teaspoon ground ginger|1 teaspoon cayenne pepper|1/2 teaspoon ground cinnamon|1/4 teaspoon ground turmeric|1 can tomato sauce|1 cup heavy whipping cream|2 teaspoons paprika|1 tablespoon white sugar|1 tablespoon vegetable oil|4 skinless , boneless chicken breast halves , cut into bite-size pieces|1/2 teaspoon curry powder"
"6 skinless , boneless chicken breast halves - cut into strips|1/4 cup olive oil|2 large onions , diced|1/3 cup curry powder , or to taste"
"2 tablespoons curry powder|2 teaspoons seasoned salt|2 teaspoons onion powder|3 large skinless , boneless chicken breast , cut into cubes|olive oil , or to taste|1/2 onion , chopped|2 cloves garlic , chopped|1 potato , chopped|20 ounces fresh spinach , torn|5 cups coconut milk"
"1/2 lime , juiced|1 1/2 tablespoons plain yogurt|1 1/2 tablespoons tandoori masala powder|salt and freshly ground black pepper to taste|2 pounds boneless , skinless chicken thighs"
"2 tablespoons vegetable oil|2 tablespoons ghee ( clarified butter )|8 chicken legs , skin removed|1 teaspoon cumin seeds|1 onion , finely chopped|5 cloves garlic , minced|2 tablespoons minced fresh ginger root|1 small tomato , coarsely chopped|1 tablespoon tomato paste|1 tablespoon garam masala|1 tablespoon ground turmeric|1 teaspoon salt , or to taste|1 serrano chile pepper , seeded and minced|1 cup water|1/4 cup chopped fresh cilantro"
"1 1/2 pounds skinless , boneless chicken breast , cut into bite-sized chunks|1/2 teaspoon salt|1/2 teaspoon ground turmeric|1/4 cup vegetable oil|2 onions , sliced thin|2 green bell peppers , cut into thin strips|4 green chile peppers , halved lengthwise|1/2 teaspoon cumin seed|1/2 teaspoon coriander seed|1/2 teaspoon whole black peppercorns|1/2 cinnamon stick|6 whole cloves|1 black cardamom pod|1/4 teaspoon fennel seed|1/2 cup water|2 tablespoons coconut milk powder|1/2 teaspoon ground red pepper|1/4 cup chopped fresh cilantro"
"1/4 cup butter|1 apple - peeled , cored and finely chopped|1/4 cup chopped onion|3 tablespoons all-purpose flour|1 1/2 cups chicken broth|1/2 cup half-and-half cream|4 teaspoons curry powder|1/2 teaspoon salt|1/4 teaspoon ground ginger|1/8 teaspoon cayenne pepper|3 cups cubed skinless , boneless chicken"
"2 teaspoons dried red chile pepper , crushed|1/4 teaspoon ground cinnamon|1/4 teaspoon ground nutmeg|1/4 teaspoon ground cloves|1 1/2 teaspoons garam masala|1 1/2 teaspoons salt|1 1/2 teaspoons minced ginger|2 cloves garlic , crushed|5 Roma tomatoes , seeded , diced|1/2 cup plain yogurt|1 pound skinless , boneless chicken breast , cut into 2-inch cubes|1/2 cup butter|2 red bell peppers , sliced|2 onions , thinly sliced|1/4 cup heavy whipping cream|2 tablespoons chopped fresh coriander"
"2 tablespoons vegetable oil|1 teaspoon cumin seed|1 onion , finely chopped|1/4 cup tomato paste|1/4 cup water|1 pound skinless , boneless chicken breast halves - cubed|1/2 can coconut milk|1/2 teaspoon brown sugar|1/2 teaspoon hot chile paste ( optional )|1 pinch cayenne pepper ( optional )|3/4 teaspoon ground turmeric|salt and pepper to taste|1/2 cup chopped cilantro"
"1 cup plain yogurt|1 red onion , finely chopped|1 lemon , juiced|1 tablespoon minced fresh ginger root|3 cloves garlic , crushed|3/4 teaspoon garam masala|3/4 teaspoon ground cumin|1/2 teaspoon cayenne pepper , or to taste|1/4 teaspoon ground turmeric|4 skinless , boneless chicken breast halves|cooking spray"
"1 whole whole chicken , cut into 8 pieces|1 teaspoon ground thyme|kosher salt and freshly ground black pepper to taste|1/4 cup canola oil|6 slices applewood smoked bacon , chopped|1 large yellow onion , diced small|3 ribs celery , chopped|2 green bell peppers , chopped|4 cloves garlic , minced|1 can whole peeled tomatoes , drained and chopped , liquid reserved|1/4 cup dried currants , plus more for garnish|1/4 cup golden raisins , or to taste|3 tablespoons Madras curry powder|2 tablespoons unsalted butter|2 bay leaves|2 cups cooked basmati rice|2 tablespoons peanuts , or to taste|2 tablespoons chopped fresh parsley"
"2 tablespoons olive oil|1 onion , minced|1 teaspoon curry powder|1 teaspoon dry mustard|8 tomatoes , diced|4 cloves garlic , crushed|2 teaspoons garam masala|1 teaspoon ground cumin|1 teaspoon salt|4 skinless , boneless chicken breasts , cut into 1-inch pieces|1 cup frozen peas|1/4 cup chopped cilantro"
"7 fresh green chile peppers , diced|1 tablespoon cumin seeds|1 tablespoon ginger-garlic paste|1 teaspoon salt|1 1/2 teaspoons ground dried turmeric|1 teaspoon lime juice|2 cups chopped fresh cilantro|1 tablespoon plain yogurt|8 chicken drumsticks , skin removed|1 tablespoon vegetable oil|1 small onion , thinly sliced"
"6 medium boneless , skinless chicken breasts ( about 2 pounds ) , tenderloins cut or pulled away , and breasts pounded lightly with fist to a more-or-less even thickness|4 teaspoons ground coriander|Salt|6 tablespoons Major Grey Chutney|1 lime , quartered|6 tablespoons frozen limeade concentrate|1/4 teaspoon hot red pepper flakes|1/4 teaspoon ground ginger|1 1/2 tablespoons vegetable or canola oil|1 package broccoli slaw|3 medium green onions , thinly sliced|1 large carrot , coarsely grated|1/4 cup chopped fresh cilantro"
"1 apple - peeled , cored , and chopped|1 onion , chopped|2 tablespoons butter|3 teaspoons curry powder|1 can condensed cream of mushroom soup|1 cup heavy cream|salt and pepper to taste|8 chicken thighs , cut into bite size pieces|3/4 cup fresh sliced mushrooms|1 teaspoon paprika"
"1 cup uncooked long-grain white rice|6 ounces diced dried mixed fruit|1/2 cup chopped onion|1 1/2 teaspoons sugar|1 teaspoon salt|2 cups water|1 chicken , cut into pieces|2 tablespoons butter , melted|4 teaspoons curry powder , divided|1/2 teaspoon paprika"
"1 1/2 pounds skinless , boneless chicken thighs|1 tablespoon vegetable oil|2 teaspoons kosher salt|2 teaspoons garam masala|2 teaspoons ground cumin|1 teaspoon ground coriander|1 teaspoon smoked paprika|1 teaspoon ground turmeric|1/2 teaspoon ground black pepper|1/4 teaspoon cayenne pepper|1/8 teaspoon ground cardamom|2 tablespoons clarified butter ( ghee ) , or more as needed|1 onion , chopped|1/4 cup tomato paste|4 cloves garlic , finely grated|1 tablespoon finely grated ginger , or more to taste|1 cup crushed tomatoes|1 can coconut milk|1/2 cup chicken broth , or as needed|2 tablespoons chopped fresh cilantro|1/2 teaspoon red pepper flakes|salt and ground black pepper to taste"
"2 tablespoons butter|2 tablespoons vegetable oil|4 large skinless , boneless chicken thighs , cut into bite-sized pieces|1 onion , diced|3 cloves garlic , minced|2 teaspoons curry powder|1 tablespoon curry paste|2 teaspoons tandoori masala|1 teaspoon garam masala|1 can tomato paste|15 green cardamom pods|1 cup low-fat plain yogurt|1 can coconut milk|salt to taste"
"1 cup finely chopped fresh cilantro|1/2 cup finely chopped fresh mint leaves|1 tablespoon ginger garlic paste|1 tablespoon lemon juice|1 tablespoon green chile paste|1 tablespoon salt|1 pound skinless , boneless chicken breast halves - cut into chunks"
"1 pound chicken thighs , or more to taste|1/2 teaspoon ground turmeric|1/2 teaspoon ground cumin|1/2 teaspoon chile powder|salt to taste|3 tablespoons vegetable oil|1/2 onion , chopped|2 dried red chile peppers , or more to taste|1 teaspoon hulled , split pigeon peas ( toor dal )|1/2 teaspoon whole fenugreek seeds|1/2 cup water"
"1 whole chicken , giblets removed|10 cloves garlic|1/4 cup garam masala|1 lime"
"3 pounds bone-in chicken pieces|3 tablespoons fresh lemon juice|1 tablespoon meat tenderizer|2 cups plain yogurt , divided|3 tablespoons ground cumin|2 tablespoons ground coriander|1/3 cup chopped fresh cilantro|2 teaspoons paprika|1/2 teaspoon ground turmeric|2 teaspoons salt|1 teaspoon ground black pepper|6 cloves garlic , minced"
"1 pound skinless , boneless chicken breast halves - cut into bite-size pieces|1 tablespoon fresh lemon juice|salt and pepper to taste|3 tablespoons olive oil|1 teaspoon cumin seed|1 large onion , finely chopped|2 cloves garlic , minced|1 teaspoon minced fresh ginger|1 can peeled , chopped tomatoes|1 teaspoon chili powder|1/2 teaspoon ground turmeric|1 teaspoon garam masala|1/2 teaspoon ground cumin|1 pinch ground coriander|1/2 teaspoon paprika|3 tablespoons plain yogurt|2 medium potatoes , peeled and cut into 1 inch cubes|1 1/2 cups water|1 can tomato juice|fresh chopped cilantro , for garnish"
"2 tablespoons olive oil|1 teaspoon cumin seed|1/2 teaspoon garam masala|1/4 teaspoon ground cardamom|1/4 teaspoon cayenne pepper|1/2 teaspoon black mustard seed|1/2 teaspoon salt|2 cloves garlic , minced|2 chicken thighs , cut into bite size pieces|2 medium potatoes , diced|2 roma ( plum ) tomatoes , diced|1/2 bunch Swiss chard , chopped|1 container plain yogurt"
"1 1/4 cups yellow lentils|4 1/4 cups water|1 pound ground chicken|1 onion , diced|4 green chile peppers , finely chopped , or more to taste|2 tablespoons ginger-garlic paste|1 tablespoon garam masala|1 tablespoon salt , or more to taste|1/2 bunch cilantro , chopped|2 eggs , beaten|2 tablespoons vegetable oil , or as needed"
"2 1/4 pounds skinless , boneless chicken breast , cut into bite-sized chunks|1 teaspoon turmeric|salt to taste|1/4 cup vegetable oil|2 teaspoons poppy seeds|2 teaspoons whole black peppercorns|2 teaspoons fennel seed|2 teaspoons coriander seed|1 teaspoon cumin seed|3 large onions , minced|4 green chile peppers , chopped|2 sprigs fresh curry leaves|1 tablespoon ginger paste|1 teaspoon garlic paste|1 cup chopped fresh tomatoes|1/2 cup water"
